2.054435	-151.56927221
2.052652	-151.56927490
2.048398	-151.56927549
2.052120	-151.56927501
2.033294	-151.56927525
2.052590	-151.56925560
2.046890	-151.56927502
2.051296	-151.56927551
2.053365	-151.56927608
2.052758	-151.56927336
2.052130	-151.56927568
2.052465	-151.56927591
2.052015	-151.56927571
2.051779	-151.56927514
2.052218	-151.56927585
2.051781	-151.56927581
2.051890	-151.56927580
2.051441	-151.56927464
2.051707	-151.56927534
2.051748	-151.56927552
2.051859	-151.56927554
2.051757	-151.56927610
2.051529	-151.56927583
2.051348	-151.56927583
2.051346	-151.56927587
2.051642	-151.56927573
2.051648	-151.56927561
2.051367	-151.56927519
2.051136	-151.56927539
2.051184	-151.56927560
2.051676	-151.56927547
2.051688	-151.56927635
2.051178	-151.56927457
2.051537	-151.56927570
2.050671	-151.56927526
2.050944	-151.56927611
2.051488	-151.56927582
2.051304	-151.56927588
2.050070	-151.56927536
2.049982	-151.56927602
2.054115	-151.56927509
2.050317	-151.56927593 	
2.049626	-151.56927590
2.050151	-151.56927573
2.050040	-151.56927595
2.049111	-151.56927588
2.049985	-151.56927544
2.050214	-151.56927585
2.049623	-151.56927559
2.049528	-151.56927597
2.050237	-151.56927584
2.050013	-151.56927604
2.050170	-151.56927593
2.050072	-151.56927590
2.049892	-151.56927624
2.049560	-151.56927610
2.049485	-151.56927608
2.049954	-151.56927587
2.049890	-151.56927579
2.050604	-151.56927593 	
2.050340	-151.56927590
2.050540	-151.56927573
2.050496	-151.56927595
2.050281	-151.56927588
2.050022	-151.56927587
2.050286	-151.56927603
2.050112	-151.56927584
2.050026	-151.56927584
2.049780	-151.56927544
2.050033	-151.56927631
2.050187	-151.56927526
2.050069	-151.56927607
2.050203	-151.56927566
2.050259	-151.56927614
2.050044	-151.56927611
2.050154	-151.56927593
2.050178	-151.56927578
2.050235	-151.56927676
2.050321	-151.56927573
2.050107	-151.56927624
2.049945	-151.56927614

