
Host: smg13363-ws

Timers On : Tue Jan  5 09:34:01 2021
Timers Off: Tue Jan  5 09:34:38 2021

Wall Time:       36.24 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
Grad: JK                            :      7.933u      0.000s      4.758w      6 calls
Grad: XC                            :      0.000u      0.000s      0.000w      6 calls

**************************************************************************************

Host: smg13363-ws

Timers On : Tue Jan  5 09:45:53 2021
Timers Off: Tue Jan  5 09:45:53 2021

Wall Time:        0.21 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: smg13363-ws

Timers On : Tue Jan  5 09:47:53 2021
Timers Off: Tue Jan  5 09:47:54 2021

Wall Time:        0.21 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: smg13363-ws

Timers On : Tue Jan  5 09:48:10 2021
Timers Off: Tue Jan  5 09:48:30 2021

Wall Time:       19.47 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
Total PK formation time             :      5.233u      0.117s      3.184w     15 calls
HF: Form core H                     :      0.000u      0.000s      0.005w     15 calls
HF: Form S/X                        :      0.000u      0.000s      0.002w     15 calls
HF: Guess                           :      0.983u      0.017s      0.602w     15 calls
SAD Guess                           :      0.917u      0.000s      0.564w      5 calls
HF: Form G                          :      1.033u      0.017s      0.651w    175 calls
JK: D                               :      0.000u      0.000s      0.001w    175 calls
JK: USO2AO                          :      0.000u      0.000s      0.011w    175 calls
JK: JK                              :      0.983u      0.017s      0.620w    175 calls
PK computes JK                      :      0.983u      0.017s      0.620w    175 calls
JK: AO2USO                          :      0.017u      0.000s      0.013w    175 calls
HF: Form F                          :      0.000u      0.000s      0.001w    175 calls
HF: Form D                          :      0.000u      0.000s      0.002w    175 calls
HF: DIIS                            :      0.133u      0.000s      0.068w    170 calls
DIISManager::add_entry              :      0.000u      0.000s      0.008w    160 calls
DIISManager::extrapolate            :      0.050u      0.000s      0.014w    160 calls
bMatrix setup                       :      0.017u      0.000s      0.005w    160 calls
bMatrix pseudoinverse               :      0.000u      0.000s      0.004w    160 calls
New vector                          :      0.033u      0.000s      0.004w    160 calls
HF: Form C                          :      0.033u      0.000s      0.032w    170 calls
Grad: V T Perturb                   :      0.283u      0.083s      0.212w     15 calls
Grad: S                             :      0.050u      0.000s      0.009w     15 calls
Grad: JK                            :     19.650u      0.000s     11.819w     15 calls
Grad: XC                            :      0.000u      0.000s      0.000w     15 calls

--------------------------------------------------------------------------------------
Total PK formation time             :      5.233u      0.117s      3.184w     15 calls
HF: Form core H                     :      0.000u      0.000s      0.005w     15 calls
HF: Form S/X                        :      0.000u      0.000s      0.002w     15 calls
HF: Guess                           :      0.983u      0.017s      0.602w     15 calls
| SAD Guess                         :      0.917u      0.000s      0.564w      5 calls
HF: Form G                          :      1.033u      0.017s      0.651w    175 calls
| JK: D                             :      0.000u      0.000s      0.001w    175 calls
| JK: USO2AO                        :      0.000u      0.000s      0.011w    175 calls
| JK: JK                            :      0.983u      0.017s      0.620w    175 calls
| | PK computes JK                  :      0.983u      0.017s      0.620w    175 calls
| JK: AO2USO                        :      0.017u      0.000s      0.013w    175 calls
HF: Form F                          :      0.000u      0.000s      0.001w    175 calls
HF: Form D                          :      0.000u      0.000s      0.002w    175 calls
HF: DIIS                            :      0.133u      0.000s      0.068w    170 calls
| DIISManager::add_entry            :      0.000u      0.000s      0.008w    160 calls
| DIISManager::extrapolate          :      0.050u      0.000s      0.014w    160 calls
| | bMatrix setup                   :      0.017u      0.000s      0.005w    160 calls
| | bMatrix pseudoinverse           :      0.000u      0.000s      0.004w    160 calls
| | New vector                      :      0.033u      0.000s      0.004w    160 calls
HF: Form C                          :      0.033u      0.000s      0.032w    170 calls
Grad: V T Perturb                   :      0.283u      0.083s      0.212w     15 calls
Grad: S                             :      0.050u      0.000s      0.009w     15 calls
Grad: JK                            :     19.650u      0.000s     11.819w     15 calls
